简称,索引码
武隆,6500156
城口,6500229
丰都,6500230
垫江,6500231
忠县,6500233
云阳,6500235
奉节,6500236
巫山,6500237
巫溪,6500238
石柱,6500240
秀山,6500241
酉阳,6500242
彭水,6500243
四川,6510000
成都,6510100
自贡,6510300
攀枝花,6510400
泸州,6510500
德阳,6510600
绵阳,6510700
广元,6510800
遂宁,6510900
内江,6511000
乐山,6511100
南充,6511300
眉山,6511400
宜宾,6511500
广安,6511600
达州,6511700
雅安,6511800
巴中,6511900
资阳,6512000
阿坝,6513200
甘孜,6513300
凉山,6513400
贵州,6520000
贵阳,6520100
六盘水,6520200
遵义,6520300
安顺,6520400
毕节,6520500
铜仁,6520600
黔西南,6522300
黔东南,6522600
黔南,6522700
云南,6530000
昆明,6530100
曲靖,6530300
玉溪,6530400
保山,6530500
昭通,6530600
丽江,6530700
普洱,6530800
临沧,6530900
楚雄,6532300
红河,6532500
文山,6532600
西双版纳,6532800
大理,6532900
德宏,6533100
怒江,6533300
迪庆,6533400
西藏,6540000
拉萨,6540100
日喀则,6540200
昌都,6540300
林芝,6540400
山南,6540500
那曲,6540600
阿里,6542500
陕西,6610000
西安,6610100
铜川,6610200
宝鸡,6610300
咸阳,6610400
渭南,6610500
延安,6610600
汉中,6610700
榆林,6610800
安康,6610900
商洛,6611000
甘肃,6620000
兰州,6620100
嘉峪关,6620200
金昌,6620300
白银,6620400
天水,6620500
武威,6620600
张掖,6620700
平凉,6620800
酒泉,6620900
庆阳,6621000
定西,6621100
陇南,6621200
临夏,6622900
甘南,6623000
青海,6630000
西宁,6630100
海东,6630200
海北,6632200
黄南,6632300
海南,6632500
果洛,6632600
玉树,6632700
海西,6632800
宁夏,6640000
银川,6640100
石嘴山,6640200
吴忠,6640300
固原,6640400
中卫,6640500
新疆,6650000
乌鲁木齐,6650100
克拉玛依,6650200
吐鲁番,6650400
哈密,6650500
昌吉,6652300
博尔塔拉,6652700
巴音郭楞,6652800
阿克苏,6652900
克孜勒苏,6653000
喀什,6653100
和田,6653200
伊犁,6654000
塔城,6654200
阿勒泰,6654300
新疆直辖,6659000
台湾,6710000
台北,6710100
高雄,6710200
基隆,6710300
台中,6710400
台南,6710500
新竹,6710600
嘉义,6710700
台北,6710800
宜兰,6710900
桃园,6711000
新竹,6711100
苗栗,6711200
台中,6711300
彰化,6711400
南投,6711500
云林,6711600
嘉义,6711700
台南,6711800
高雄,6711900
屏东,6712000
花莲,6712100
台东,6712200
澎湖,6712300
香港,6810000
香港岛,6810100
九龙,6810200
新界,6810300
澳门,6820000
澳门半岛,6820100
氹仔岛,6820200
路环岛,6820300
