# 20260714_2054_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
42.238.247.1:8012	无效	0	304
42.238.248.1:8012	无效	0	304
42.238.249.1:8012	无效	0	304
42.238.250.1:8012	无效	0	304
42.238.251.1:8012	无效	0	304
42.238.252.1:8012	无效	0	304
42.238.253.1:8012	无效	0	304
42.238.254.1:8012	无效	0	304
42.238.255.1:8012	无效	0	304
42.239.25.29:8899	无效	0	304
42.37.26.164:8899	无效	0	304
42.52.26.245:8899	无效	0	304
42.54.27.32:8899	无效	0	304
42.56.26.255:8899	无效	0	304
42.59.25.103:8899	无效	0	304
42.6.26.168:8899	无效	0	304
42.71.25.235:8899	无效	0	304
42.76.24.193:8899	无效	0	304
42.78.27.143:8899	无效	0	304
42.83.24.162:8899	无效	0	304
42.88.25.41:8899	无效	0	304
42.90.25.87:8899	无效	0	304
42.95.24.126:8899	无效	0	304
42.96.25.252:8899	无效	0	304
42.97.26.207:8899	无效	0	304
60.4.29.141:8077	无效	0	304
60.6.112.12:4022	无效	0	304
123.13.245.78:4002	有效	69	175
42.228.33.245:8190	有效	4	240
42.237.212.142:4022	无效	0	244
42.237.223.11:8899	有效	14	194
123.13.245.90:4002	有效	37	132
222.141.134.113:8888	有效	142	27
42.237.223.25:8899	有效	41	128
42.228.40.176:8190	有效	4	92
42.237.223.102:8899	有效	66	30
123.13.245.149:4002	有效	1	95
42.238.246.76:8012	有效	16	0
222.141.134.18:8888	有效	16	0
