# 20260626_1045_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
113.65.9.223:4014	无效	0	198
113.65.9.223:4016	无效	0	198
113.65.9.223:4111	无效	0	198
113.65.9.226:4013	无效	0	198
113.65.9.232:4013	无效	0	198
113.65.9.232:4014	无效	0	198
113.65.9.232:4016	无效	0	198
113.65.9.232:4111	无效	0	198
113.65.9.32:4013	无效	0	198
113.65.9.36:4013	无效	0	198
113.65.9.76:4013	无效	0	198
113.75.181.172:2086	无效	0	198
113.78.240.77:8443	无效	0	198
113.78.252.188:8888	无效	0	198
113.83.248.121:4200	无效	0	198
113.83.248.139:4200	无效	0	198
113.83.248.142:4200	无效	0	198
113.83.248.173:4200	无效	0	198
113.83.248.1:4200	无效	0	198
113.83.248.201:4200	无效	0	198
113.83.248.84:4200	无效	0	198
113.85.52.135:4022	无效	0	198
113.85.57.115:4001	无效	0	198
113.88.76.125:4000	无效	0	198
113.90.236.113:8888	无效	0	198
113.90.238.238:8888	无效	0	198
113.90.238.32:8888	无效	0	198
113.90.246.98:4000	无效	0	198
113.90.247.228:4000	无效	0	198
113.92.159.55:50000	无效	0	198
113.93.53.82:5555	无效	0	198
113.94.58.148:4022	无效	0	198
113.95.137.178:4022	无效	0	198
113.95.139.180:8889	无效	0	198
113.95.141.235:30001	无效	0	198
113.95.141.235:554	无效	0	198
116.18.38.225:4000	无效	0	198
116.205.183.226:32770	无效	0	198
116.205.225.128:3075	无效	0	198
116.205.242.159:8194	无效	0	198
116.21.205.101:8188	无效	0	198
116.21.205.194:8188	无效	0	198
116.21.205.1:8188	无效	0	198
116.21.205.82:8188	无效	0	198
116.22.252.111:9999	无效	0	198
116.22.254.184:10087	无效	0	198
116.23.97.126:7188	无效	0	198
116.23.97.1:7188	无效	0	198
116.23.98.192:7188	无效	0	198
116.23.98.1:7188	无效	0	198
116.25.243.187:18888	无效	0	198
116.28.124.177:5000	无效	0	198
116.28.97.90:8888	无效	0	198
116.30.248.1:9876	无效	0	198
116.30.248.36:9876	无效	0	198
116.30.249.103:9876	无效	0	198
116.30.249.160:9876	无效	0	198
116.30.249.198:9876	无效	0	198
116.30.249.1:9876	无效	0	198
116.30.249.52:9876	无效	0	198
116.30.249.89:9876	无效	0	198
116.30.250.117:9876	无效	0	198
116.30.250.1:9876	无效	0	198
116.30.250.239:9876	无效	0	198
116.30.251.1:9876	无效	0	198
116.30.251.239:9876	无效	0	198
116.30.251.248:9876	无效	0	198
116.30.251.45:9876	无效	0	198
