# 20260531_2057_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
171.213.142.1:1880	无效	0	65
171.213.142.1:8188	无效	0	65
171.213.142.1:9999	无效	0	65
171.213.142.218:9999	无效	0	65
171.213.142.64:4022	无效	0	65
171.213.143.144:8188	无效	0	65
171.213.143.167:4200	无效	0	65
171.213.143.182:9999	无效	0	65
171.213.143.1:1880	无效	0	65
171.213.143.1:8188	无效	0	65
171.213.143.208:8188	无效	0	65
171.213.143.253:8188	无效	0	65
171.213.143.29:8188	无效	0	65
171.213.143.76:9999	无效	0	65
171.213.144.181:8188	无效	0	65
171.213.144.1:4022	无效	0	65
171.213.144.1:8188	无效	0	65
171.213.144.1:8886	无效	0	65
171.213.145.1:4022	无效	0	65
171.213.145.1:8188	无效	0	65
171.213.145.200:8188	无效	0	65
171.213.145.205:9100	无效	0	65
171.213.145.244:8188	无效	0	65
171.213.145.86:8188	无效	0	65
171.213.145.87:1588	无效	0	65
171.213.146.120:9999	无效	0	65
171.213.146.1:4022	无效	0	65
171.213.146.1:8188	无效	0	65
171.213.146.1:8886	无效	0	65
171.213.146.230:4022	无效	0	65
171.213.146.233:8188	无效	0	65
171.213.146.242:66	无效	0	65
171.213.146.24:8188	无效	0	65
171.213.146.251:8188	无效	0	65
171.213.146.254:8188	无效	0	65
171.213.146.32:8188	无效	0	65
171.213.146.44:8188	无效	0	65
171.213.146.47:8188	无效	0	65
171.213.146.57:8188	无效	0	65
171.213.146.66:8188	无效	0	65
171.213.146.88:8000	无效	0	65
171.213.147.1:4022	无效	0	65
171.213.147.1:8188	无效	0	65
171.213.147.1:9999	无效	0	65
171.213.147.228:8188	无效	0	65
171.213.147.22:4022	无效	0	65
171.213.147.30:8188	无效	0	65
171.213.147.4:9999	无效	0	65
171.213.147.9:8188	无效	0	65
171.213.148.109:8188	无效	0	65
171.213.148.116:5678	无效	0	65
171.213.148.12:8188	无效	0	65
171.213.148.160:8188	无效	0	65
171.213.148.1:1880	无效	0	65
171.213.148.1:4022	无效	0	65
171.213.148.1:8188	无效	0	65
171.213.148.252:8188	无效	0	65
171.213.148.59:8188	无效	0	65
171.213.148.95:8188	无效	0	65
171.213.149.106:8188	无效	0	65
171.213.149.110:8188	无效	0	65
171.213.149.133:8188	无效	0	65
171.213.149.153:8188	无效	0	65
171.213.149.190:8188	无效	0	65
171.213.149.1:1880	无效	0	65
171.213.149.1:4022	无效	0	65
171.213.149.1:8188	无效	0	65
171.213.149.220:4443	无效	0	65
171.213.149.223:8188	无效	0	65
171.213.149.243:8188	无效	0	65
171.213.149.32:4022	无效	0	65
171.213.149.84:8188	无效	0	65
171.213.149.91:8188	无效	0	65
171.213.149.9:8188	无效	0	65
171.213.150.107:8188	无效	0	65
171.213.150.113:8188	无效	0	65
171.213.150.122:9999	无效	0	65
171.213.150.140:8188	无效	0	65
171.213.150.142:8188	无效	0	65
171.213.150.148:4022	无效	0	65
171.213.150.155:9999	无效	0	65
171.213.150.158:8188	无效	0	65
171.213.150.1:4022	无效	0	65
171.213.150.1:8188	无效	0	65
171.213.150.1:9999	无效	0	65
171.213.150.20:9999	无效	0	65
171.213.150.22:8188	无效	0	65
171.213.150.235:4022	无效	0	65
171.213.150.25:8888	无效	0	65
171.213.150.28:8188	无效	0	65
171.213.150.2:8188	无效	0	65
171.213.150.61:8899	无效	0	65
171.213.150.87:8188	无效	0	65
171.213.151.102:8188	无效	0	65
171.213.151.10:8188	无效	0	65
171.213.151.170:8188	无效	0	65
171.213.151.1:4022	无效	0	65
171.213.151.1:8188	无效	0	65
171.213.151.242:8188	无效	0	65
171.213.151.253:4022	无效	0	65
171.213.151.33:6666	无效	0	65
171.213.151.42:5678	无效	0	65
171.213.151.52:8188	无效	0	65
171.213.151.55:4022	无效	0	65
171.213.151.74:8188	无效	0	65
171.213.151.82:4022	无效	0	65
171.213.151.84:8188	无效	0	65
171.213.152.144:1880	无效	0	65
171.213.152.170:4022	无效	0	65
171.213.152.199:9999	无效	0	65
171.213.152.1:1880	无效	0	65
171.213.152.1:4022	无效	0	65
171.213.152.1:8188	无效	0	65
171.213.152.1:9999	无效	0	65
171.213.152.225:8188	无效	0	65
171.213.152.254:8188	无效	0	65
171.213.152.29:8188	无效	0	65
171.213.152.4:9999	无效	0	65
171.213.152.56:8188	无效	0	65
171.213.152.62:8899	无效	0	65
171.213.152.92:8188	无效	0	65
171.213.153.112:8886	无效	0	65
171.213.153.114:4022	无效	0	65
171.213.153.134:8188	无效	0	65
171.213.153.142:8188	无效	0	65
171.213.153.145:10000	无效	0	65
171.213.153.154:9999	无效	0	65
171.213.153.157:8188	无效	0	65
171.213.153.16:9007	无效	0	65
171.213.153.171:1588	无效	0	65
171.213.153.1:1880	无效	0	65
171.213.153.1:4022	无效	0	65
171.213.153.1:8188	无效	0	65
171.213.153.1:9999	无效	0	65
171.213.153.201:8188	无效	0	65
171.213.153.216:8188	无效	0	65
171.213.153.222:8188	无效	0	65
171.213.153.228:8188	无效	0	65
171.213.153.92:8188	无效	0	65
171.213.154.108:1588	无效	0	65
171.213.154.119:9999	无效	0	65
171.213.154.184:8188	无效	0	65
171.213.154.1:1880	无效	0	65
171.213.154.1:4022	无效	0	65
171.213.154.1:8188	无效	0	65
171.213.154.1:9100	无效	0	65
171.213.154.1:9999	无效	0	65
171.213.154.211:8188	无效	0	65
171.213.154.245:8188	有效	32	33
171.213.154.47:8188	无效	0	65
171.213.154.50:4022	无效	0	65
171.213.154.56:6666	无效	0	65
171.213.154.80:19999	无效	0	65
171.213.155.10:8188	无效	0	65
171.213.155.136:8188	无效	0	65
171.213.155.171:4022	无效	0	65
171.213.155.196:8188	无效	0	65
171.213.155.1:4022	无效	0	65
171.213.155.1:8188	无效	0	65
171.213.155.1:9999	无效	0	65
171.213.155.204:8188	无效	0	65
171.213.155.205:9100	无效	0	65
171.213.155.207:8188	无效	0	65
171.213.155.221:8188	无效	0	65
171.213.155.224:8188	无效	0	65
171.213.155.233:8188	无效	0	65
171.213.155.245:8886	无效	0	65
171.213.155.246:8899	无效	0	65
171.213.155.47:8188	无效	0	65
171.213.155.5:8188	无效	0	65
171.213.155.84:8188	无效	0	65
171.213.155.86:8188	无效	0	65
171.213.155.98:8188	无效	0	65
171.213.156.152:4022	无效	0	65
171.213.156.192:3333	无效	0	65
171.213.156.1:1880	无效	0	65
171.213.156.1:4022	无效	0	65
171.213.156.1:8188	无效	0	65
171.213.156.253:5678	无效	0	65
171.213.157.142:8188	无效	0	65
171.213.157.197:1880	无效	0	65
171.213.157.198:19999	无效	0	65
171.213.157.1:1880	无效	0	65
171.213.157.1:4022	无效	0	65
171.213.157.1:9999	无效	0	65
171.213.157.34:1588	无效	0	65
171.213.158.121:19999	无效	0	65
171.213.158.1:1880	无效	0	65
171.213.158.1:4022	无效	0	65
171.213.158.80:8188	无效	0	65
171.213.159.164:8886	无效	0	65
171.213.159.173:5555	无效	0	65
171.213.159.1:1880	无效	0	65
171.213.159.1:4022	无效	0	65
171.213.159.1:8886	无效	0	65
171.213.159.212:1588	无效	0	65
171.213.159.41:8188	无效	0	65
171.213.160.116:2222	无效	0	65
171.213.160.1:4022	无效	0	65
171.213.160.208:9100	无效	0	65
171.213.160.57:4022	无效	0	65
171.213.161.1:1880	无效	0	65
171.213.161.251:8899	无效	0	65
171.213.161.31:4022	无效	0	65
171.213.162.125:66	无效	0	65
171.213.162.184:5678	无效	0	65
171.213.162.1:1880	无效	0	65
171.213.162.59:82	无效	0	65
171.213.163.135:8899	无效	0	65
171.213.164.161:4000	无效	0	65
171.213.164.167:4022	无效	0	65
171.213.164.193:9100	无效	0	65
171.213.164.1:4000	无效	0	65
171.213.164.1:8188	无效	0	65
171.213.164.251:4000	无效	0	65
171.213.165.128:58888	无效	0	65
171.213.165.158:58888	无效	0	65
171.213.165.190:58888	无效	0	65
171.213.165.225:4200	无效	0	65
171.213.165.28:6868	无效	0	65
171.213.165.90:4022	无效	0	65
171.213.166.1:1880	无效	0	65
171.213.166.210:1880	无效	0	65
171.213.166.248:1588	无效	0	65
171.213.168.50:5678	无效	0	65
171.213.168.50:8888	无效	0	65
171.213.169.90:5678	无效	0	65
171.213.169.98:4022	无效	0	65
171.213.170.74:8888	无效	0	65
171.213.171.176:1588	无效	0	65
171.213.171.194:9100	无效	0	65
171.213.172.123:4022	无效	0	65
171.213.172.146:8888	无效	0	65
171.213.173.1:6666	无效	0	65
171.213.173.89:9999	无效	0	65
171.213.174.11:9977	无效	0	65
171.213.174.195:8060	无效	0	65
171.213.175.113:9999	无效	0	65
171.213.175.177:4022	无效	0	65
171.213.176.209:8899	无效	0	65
171.213.177.195:8888	无效	0	65
171.213.177.219:9999	无效	0	65
171.213.177.230:1588	无效	0	65
171.213.178.1:1880	无效	0	65
171.213.179.11:4000	无效	0	65
171.213.179.21:4022	无效	0	65
171.213.180.100:8899	无效	0	65
171.213.180.88:8899	无效	0	65
171.213.192.108:8088	无效	0	65
171.213.192.34:8880	无效	0	65
171.213.192.85:8888	无效	0	65
171.213.193.100:4022	无效	0	65
171.213.193.131:4022	无效	0	65
171.213.193.172:4022	无效	0	65
171.213.193.220:4022	无效	0	65
171.213.193.246:82	无效	0	65
171.213.193.63:8888	无效	0	65
171.213.193.65:8188	无效	0	65
171.213.194.115:8188	无效	0	65
171.213.194.117:4022	无效	0	65
171.213.194.1:19999	无效	0	65
171.213.194.215:8888	无效	0	65
171.213.194.43:8188	无效	0	65
171.213.194.75:9977	无效	0	65
171.213.195.104:4022	无效	0	65
171.213.195.112:8096	无效	0	65
171.213.195.167:8888	无效	0	65
171.213.195.33:4022	无效	0	65
171.213.196.199:4022	无效	0	65
171.213.196.1:58888	无效	0	65
171.213.196.54:4022	无效	0	65
171.213.196.78:4022	无效	0	65
171.213.197.11:8188	无效	0	65
171.213.197.162:8088	无效	0	65
171.213.197.1:8686	无效	0	65
171.213.197.208:8188	无效	0	65
171.213.197.212:8096	无效	0	65
171.213.197.244:4022	无效	0	65
171.213.198.134:8888	无效	0	65
171.213.198.191:58888	无效	0	65
171.213.198.64:8088	无效	0	65
171.213.199.231:8096	无效	0	65
171.213.200.197:82	无效	0	65
171.213.200.1:4022	无效	0	65
171.213.200.1:8686	无效	0	65
171.213.200.91:4022	无效	0	65
171.213.200.91:9977	无效	0	65
171.213.201.15:4022	无效	0	65
171.213.201.165:4022	无效	0	65
171.213.201.171:8188	无效	0	65
171.213.201.198:8086	无效	0	65
171.213.201.1:4022	无效	0	65
171.213.201.218:8096	无效	0	65
171.213.201.46:8888	无效	0	65
171.213.201.77:8188	无效	0	65
171.213.201.86:8818	无效	0	65
171.213.202.166:4022	无效	0	65
171.213.202.1:4022	无效	0	65
171.213.202.215:8188	无效	0	65
171.213.202.87:4022	无效	0	65
171.213.203.101:8888	无效	0	65
171.213.203.122:5555	无效	0	65
171.213.203.17:5555	无效	0	65
171.213.203.1:4022	无效	0	65
171.213.203.1:8818	无效	0	65
171.213.203.87:8888	无效	0	65
171.213.204.133:4022	无效	0	65
171.213.204.1:4022	无效	0	65
171.213.204.1:8088	无效	0	65
171.213.204.1:8818	无效	0	65
171.213.204.39:8188	无效	0	65
171.213.204.79:4000	无效	0	65
171.213.204.79:4022	无效	0	65
171.213.205.157:4000	无效	0	65
171.213.205.176:8686	无效	0	65
171.213.205.1:4022	无效	0	65
171.213.205.1:8818	无效	0	65
171.213.205.207:4022	无效	0	65
171.213.205.42:82	无效	0	65
171.213.205.51:8188	无效	0	65
171.213.206.184:4022	无效	0	65
171.213.206.1:4022	无效	0	65
171.213.206.1:8818	无效	0	65
171.213.206.207:8188	无效	0	65
171.213.206.213:4022	无效	0	65
171.213.206.220:4022	无效	0	65
171.213.206.250:9977	无效	0	65
171.213.206.35:4022	无效	0	65
171.213.206.39:4022	无效	0	65
171.213.207.142:8818	无效	0	65
171.213.207.1:4022	无效	0	65
171.213.207.1:8818	无效	0	65
171.213.207.2:8188	无效	0	65
171.213.207.67:58888	无效	0	65
171.213.207.69:4022	无效	0	65
171.213.207.97:4022	无效	0	65
171.213.208.105:4022	无效	0	65
171.213.208.153:4022	无效	0	65
171.213.208.159:4022	无效	0	65
171.213.208.171:4022	无效	0	65
171.213.208.1:4022	无效	0	65
171.213.208.1:8818	无效	0	65
171.213.208.214:5555	无效	0	65
171.213.208.218:8888	无效	0	65
171.213.208.67:4022	无效	0	65
171.213.208.81:4022	无效	0	65
171.213.209.148:8188	无效	0	65
171.213.209.152:8888	无效	0	65
171.213.209.179:4022	无效	0	65
171.213.209.1:4022	无效	0	65
171.213.209.1:55555	无效	0	65
171.213.209.1:8818	无效	0	65
171.213.209.249:8818	无效	0	65
171.213.209.69:8096	无效	0	65
171.213.209.90:8188	无效	0	65
171.213.210.1:4022	无效	0	65
171.213.210.1:8818	无效	0	65
171.213.210.49:3333	无效	0	65
171.213.210.85:5555	无效	0	65
171.213.211.104:4022	无效	0	65
171.213.211.13:4022	无效	0	65
171.213.211.188:4000	无效	0	65
171.213.211.1:4022	无效	0	65
171.213.211.1:8818	无效	0	65
171.213.211.24:4022	无效	0	65
171.213.211.254:5555	无效	0	65
171.213.211.81:4022	无效	0	65
171.213.212.109:8888	无效	0	65
171.213.212.10:8686	无效	0	65
171.213.212.142:8096	无效	0	65
171.213.212.172:4022	无效	0	65
171.213.212.172:58888	无效	0	65
171.213.212.179:4022	无效	0	65
171.213.212.186:8800	无效	0	65
171.213.212.1:4022	无效	0	65
171.213.212.1:8818	无效	0	65
171.213.212.221:8800	无效	0	65
171.213.212.223:8686	无效	0	65
171.213.212.28:8888	无效	0	65
171.213.213.1:4022	无效	0	65
171.213.213.1:8818	无效	0	65
171.213.213.22:8888	无效	0	65
171.213.213.39:4000	无效	0	65
171.213.213.49:4022	无效	0	65
171.213.214.116:8188	无效	0	65
171.213.214.131:5555	无效	0	65
171.213.214.185:4022	无效	0	65
171.213.214.1:4000	无效	0	65
171.213.214.1:4022	无效	0	65
171.213.214.1:8686	无效	0	65
171.213.214.1:8818	无效	0	65
171.213.214.247:4022	无效	0	65
171.213.214.9:4022	无效	0	65
171.213.215.140:8088	无效	0	65
171.213.215.15:4022	无效	0	65
171.213.215.1:4022	无效	0	65
171.213.215.1:8818	无效	0	65
171.213.215.208:4022	无效	0	65
171.213.215.20:4022	无效	0	65
171.213.215.22:4022	无效	0	65
171.213.215.248:4022	无效	0	65
171.213.215.48:8188	无效	0	65
171.213.215.49:8188	无效	0	65
171.213.215.91:8188	无效	0	65
171.213.216.110:8096	无效	0	65
171.213.216.144:8818	无效	0	65
171.213.216.146:4022	无效	0	65
171.213.216.170:8818	无效	0	65
171.213.216.1:4000	无效	0	65
171.213.216.1:4022	无效	0	65
171.213.216.1:8686	无效	0	65
171.213.216.243:4022	无效	0	65
171.213.216.44:5555	无效	0	65
171.213.216.84:8686	无效	0	65
171.213.216.89:8888	无效	0	65
171.213.217.110:19999	无效	0	65
171.213.217.141:9977	无效	0	65
171.213.217.158:4022	无效	0	65
171.213.217.168:9977	无效	0	65
171.213.217.1:8686	无效	0	65
171.213.217.1:8800	无效	0	65
171.213.217.8:8800	无效	0	65
171.213.218.106:8818	无效	0	65
171.213.218.119:8800	无效	0	65
171.213.218.135:8800	无效	0	65
171.213.218.1:4000	无效	0	65
171.213.218.1:8800	无效	0	65
171.213.218.200:8888	无效	0	65
171.213.219.118:8888	无效	0	65
171.213.219.15:8096	无效	0	65
171.213.219.185:8888	无效	0	65
171.213.219.1:4000	无效	0	65
171.213.219.1:4022	无效	0	65
171.213.219.209:8888	无效	0	65
171.213.219.225:4022	无效	0	65
171.213.219.241:4022	无效	0	65
171.213.219.25:8188	无效	0	65
171.213.219.34:82	无效	0	65
