央视,#genre#
CCTV风云剧场,http://cx.shscxzx.cn:8899/rtp/239.45.0.50:5140,无效
CCTV风云剧场,http://wsc2007123.myds.me:30100/rtp/239.45.0.50:5140,无效
CCTV风云剧场,http://home888.uttcare.com:8889/rtp/239.45.0.50:5140,无效
CCTV风云剧场,http://shenhua.asuscomm.com:8888/rtp/239.45.0.50:5140,无效
CCTV风云足球,http://yyf1991.top:9999/rtp/239.45.0.43:5140,无效
CCTV风云足球,http://cx.shscxzx.cn:8899/rtp/239.45.0.43:5140,无效
CCTV风云足球,http://wsc2007123.myds.me:30100/rtp/239.45.0.43:5140,无效
CCTV风云足球,http://home888.uttcare.com:8889/rtp/239.45.0.43:5140,无效
CCTV风云足球,http://shenhua.asuscomm.com:8888/rtp/239.45.0.43:5140,无效
CCTV风云足球,http://yyf1991.top:9999/rtp/239.45.1.75:5140,无效
CCTV风云足球,http://cx.shscxzx.cn:8899/rtp/239.45.1.75:5140,无效
CCTV风云足球,http://wsc2007123.myds.me:30100/rtp/239.45.1.75:5140,无效
CCTV风云足球,http://home888.uttcare.com:8889/rtp/239.45.1.75:5140,无效
CCTV风云足球,http://shenhua.asuscomm.com:8888/rtp/239.45.1.75:5140,无效
CCTV风云音乐,http://yyf1991.top:9999/rtp/239.45.0.52:5140,无效
CCTV风云音乐,http://cx.shscxzx.cn:8899/rtp/239.45.0.52:5140,无效
CCTV风云音乐,http://wsc2007123.myds.me:30100/rtp/239.45.0.52:5140,无效
CCTV风云音乐,http://home888.uttcare.com:8889/rtp/239.45.0.52:5140,无效
CCTV风云音乐,http://shenhua.asuscomm.com:8888/rtp/239.45.0.52:5140,无效
CCTV高网,http://yyf1991.top:9999/rtp/239.45.0.48:5140,无效
CCTV高网,http://cx.shscxzx.cn:8899/rtp/239.45.0.48:5140,无效
CCTV高网,http://wsc2007123.myds.me:30100/rtp/239.45.0.48:5140,无效
CCTV高网,http://home888.uttcare.com:8889/rtp/239.45.0.48:5140,无效
CCTV高网,http://shenhua.asuscomm.com:8888/rtp/239.45.0.48:5140,无效
CCTV高网,http://yyf1991.top:9999/rtp/239.45.1.72:5140,无效
CCTV高网,http://cx.shscxzx.cn:8899/rtp/239.45.1.72:5140,无效
CCTV高网,http://wsc2007123.myds.me:30100/rtp/239.45.1.72:5140,无效
CCTV高网,http://home888.uttcare.com:8889/rtp/239.45.1.72:5140,无效
CCTV高网,http://shenhua.asuscomm.com:8888/rtp/239.45.1.72:5140,无效
cctv 14,http://yyf1991.top:9999/rtp/239.45.3.23:5140,无效
cctv 14,http://cx.shscxzx.cn:8899/rtp/239.45.3.23:5140,无效
cctv 14,http://wsc2007123.myds.me:30100/rtp/239.45.3.23:5140,无效
cctv 14,http://home888.uttcare.com:8889/rtp/239.45.3.23:5140,无效
cctv 14,http://shenhua.asuscomm.com:8888/rtp/239.45.3.23:5140,无效
CCTV1,http://yyf1991.top:9999/rtp/233.18.204.168:5140,无效
CCTV1,http://cx.shscxzx.cn:8899/rtp/233.18.204.168:5140,无效
CCTV1,http://wsc2007123.myds.me:30100/rtp/233.18.204.168:5140,无效
CCTV1,http://home888.uttcare.com:8889/rtp/233.18.204.168:5140,无效
CCTV1,http://shenhua.asuscomm.com:8888/rtp/233.18.204.168:5140,无效
CCTV1,http://yyf1991.top:9999/rtp/233.18.204.20:5140,无效
CCTV1,http://cx.shscxzx.cn:8899/rtp/233.18.204.20:5140,无效
CCTV1,http://wsc2007123.myds.me:30100/rtp/233.18.204.20:5140,无效
CCTV1,http://home888.uttcare.com:8889/rtp/233.18.204.20:5140,无效
CCTV1,http://shenhua.asuscomm.com:8888/rtp/233.18.204.20:5140,无效
CCTV1,http://yyf1991.top:9999/rtp/233.18.204.52:5140,有效
CCTV1,http://cx.shscxzx.cn:8899/rtp/233.18.204.52:5140,有效
CCTV1,http://wsc2007123.myds.me:30100/rtp/233.18.204.52:5140,有效
CCTV1,http://home888.uttcare.com:8889/rtp/233.18.204.52:5140,有效
CCTV1,http://shenhua.asuscomm.com:8888/rtp/233.18.204.52:5140,有效
CCTV1,http://yyf1991.top:9999/rtp/239.45.3.145:5140,无效
CCTV1,http://cx.shscxzx.cn:8899/rtp/239.45.3.145:5140,无效
CCTV1,http://wsc2007123.myds.me:30100/rtp/239.45.3.145:5140,无效
CCTV1,http://home888.uttcare.com:8889/rtp/239.45.3.145:5140,无效
CCTV1,http://shenhua.asuscomm.com:8888/rtp/239.45.3.145:5140,无效
CCTV1,http://yyf1991.top:9999/rtp/239.45.3.51:5140,无效
CCTV1,http://cx.shscxzx.cn:8899/rtp/239.45.3.51:5140,无效
CCTV1,http://wsc2007123.myds.me:30100/rtp/239.45.3.51:5140,无效
CCTV1,http://home888.uttcare.com:8889/rtp/239.45.3.51:5140,无效
CCTV1,http://shenhua.asuscomm.com:8888/rtp/239.45.3.51:5140,无效
CCTV1,http://yyf1991.top:9999/rtp/239.45.3.88:5140,无效
CCTV1,http://cx.shscxzx.cn:8899/rtp/239.45.3.88:5140,无效
CCTV1,http://wsc2007123.myds.me:30100/rtp/239.45.3.88:5140,无效
CCTV1,http://home888.uttcare.com:8889/rtp/239.45.3.88:5140,无效
CCTV1,http://shenhua.asuscomm.com:8888/rtp/239.45.3.88:5140,无效
CCTV2,http://yyf1991.top:9999/rtp/233.18.204.21:5140,无效
CCTV2,http://cx.shscxzx.cn:8899/rtp/233.18.204.21:5140,无效
CCTV2,http://wsc2007123.myds.me:30100/rtp/233.18.204.21:5140,无效
CCTV2,http://home888.uttcare.com:8889/rtp/233.18.204.21:5140,无效
