央视,#genre#
CCTV11戏曲,http://renhaifeng.synology.me:4022/rtp/233.50.200.132:5140,有效
CCTV11戏曲,http://zjhuct.synology.me:8881/rtp/233.50.200.132:5140,有效
CCTV11戏曲,http://zjhuct.icu:8889/rtp/233.50.200.132:5140,有效
CCTV11戏曲,http://hs.hejd.net:7088/rtp/233.50.200.132:5140,有效
CCTV11戏曲,http://t.zjhuct.icu:8889/rtp/233.50.200.132:5140,有效
CCTV15音乐,http://renhaifeng.synology.me:4022/rtp/233.50.200.133:5140,有效
CCTV15音乐,http://zjhuct.synology.me:8881/rtp/233.50.200.133:5140,有效
CCTV15音乐,http://zjhuct.icu:8889/rtp/233.50.200.133:5140,有效
CCTV15音乐,http://hs.hejd.net:7088/rtp/233.50.200.133:5140,有效
CCTV15音乐,http://t.zjhuct.icu:8889/rtp/233.50.200.133:5140,有效
CCTV1综合,http://renhaifeng.synology.me:4022/rtp/233.50.201.118:5140,有效
CCTV1综合,http://zjhuct.synology.me:8881/rtp/233.50.201.118:5140,有效
CCTV1综合,http://zjhuct.icu:8889/rtp/233.50.201.118:5140,有效
CCTV1综合,http://hs.hejd.net:7088/rtp/233.50.201.118:5140,有效
CCTV1综合,http://t.zjhuct.icu:8889/rtp/233.50.201.118:5140,有效
CCTV1,http://renhaifeng.synology.me:4022/rtp/233.50.200.130:5140,有效
CCTV1,http://zjhuct.synology.me:8881/rtp/233.50.200.130:5140,有效
CCTV1,http://zjhuct.icu:8889/rtp/233.50.200.130:5140,有效
CCTV1,http://hs.hejd.net:7088/rtp/233.50.200.130:5140,有效
CCTV1,http://t.zjhuct.icu:8889/rtp/233.50.200.130:5140,有效
CCTV1,http://renhaifeng.synology.me:4022/rtp/233.50.200.143:5140,有效
CCTV1,http://zjhuct.synology.me:8881/rtp/233.50.200.143:5140,有效
CCTV1,http://zjhuct.icu:8889/rtp/233.50.200.143:5140,有效
CCTV1,http://hs.hejd.net:7088/rtp/233.50.200.143:5140,有效
CCTV1,http://t.zjhuct.icu:8889/rtp/233.50.200.143:5140,有效
CCTV1,http://renhaifeng.synology.me:4022/rtp/233.50.200.178:5140,有效
CCTV1,http://zjhuct.synology.me:8881/rtp/233.50.200.178:5140,有效
CCTV1,http://zjhuct.icu:8889/rtp/233.50.200.178:5140,有效
CCTV1,http://hs.hejd.net:7088/rtp/233.50.200.178:5140,有效
CCTV1,http://t.zjhuct.icu:8889/rtp/233.50.200.178:5140,有效
CCTV1,http://renhaifeng.synology.me:4022/rtp/233.50.200.201:5140,无效
CCTV1,http://zjhuct.synology.me:8881/rtp/233.50.200.201:5140,无效
CCTV1,http://zjhuct.icu:8889/rtp/233.50.200.201:5140,无效
CCTV1,http://hs.hejd.net:7088/rtp/233.50.200.201:5140,无效
CCTV1,http://t.zjhuct.icu:8889/rtp/233.50.200.201:5140,无效
CCTV1,http://renhaifeng.synology.me:4022/rtp/233.50.200.218:5140,无效
CCTV1,http://zjhuct.synology.me:8881/rtp/233.50.200.218:5140,无效
CCTV1,http://zjhuct.icu:8889/rtp/233.50.200.218:5140,无效
CCTV1,http://hs.hejd.net:7088/rtp/233.50.200.218:5140,无效
CCTV1,http://t.zjhuct.icu:8889/rtp/233.50.200.218:5140,无效
CCTV1,http://renhaifeng.synology.me:4022/rtp/233.50.200.220:5140,无效
CCTV1,http://zjhuct.synology.me:8881/rtp/233.50.200.220:5140,无效
CCTV1,http://zjhuct.icu:8889/rtp/233.50.200.220:5140,无效
CCTV1,http://hs.hejd.net:7088/rtp/233.50.200.220:5140,无效
CCTV1,http://t.zjhuct.icu:8889/rtp/233.50.200.220:5140,无效
